Record ID,store_name,Store Type,Street Number,Street Name,Additional Address,city,state,Zip Code,Zip4,County,latitude,longitude,Authorization Date,End Date
1545953,125 Main Essentials Food Corp./Compare Fresh  ,Super Store,125,W Kingsbridge Rd,Store 4 & 5,Bronx,NY,10468,3995,BRONX,40.86907,-73.90273,5/4/2023, 
1006391,125 W 165thSt Grocery Corp  ,Small Grocery Store,125,W 165th St, ,Bronx,NY,10452,4907,BRONX,40.83437,-73.9282,8/17/2011,7/6/2017
517153,1250 WASHINGTON FOOD CORP  ,Supermarket,1250,Washington Ave, ,Bronx,NY,10456,3419,BRONX,40.83204,-73.9064,2/19/1998,4/20/2005
1032695,126-Meat Corporation DBA Foodtown  ,Supermarket,126,Featherbed Ln, ,Bronx,NY,10452,1656,BRONX,40.84615,-73.92021,2/6/2012,2/13/2018
243437,1260 FINE FOOD INC  ,Medium Grocery Store,1260,Morrison Ave, ,Bronx,NY,10472,2702,BRONX,40.83128,-73.87498,9/18/2003,8/24/2015
1604325,1269 Bronx Deli  ,Convenience Store,1269,Grand Concourse,,Bronx,NY,10452,7830,BRONX,40.83624,-73.91646,9/3/2024, 
1437402,1269 Bronx Deli Grocery Corp  ,Convenience Store,1269,Grand Concourse,,Bronx,NY,10452,7830,BRONX,40.83618,-73.91684,7/29/2021,12/27/2023
1411767,1269 Deli Grocery Corp  ,Convenience Store,1269,Grand Concourse,,Bronx,NY,10452,7830,BRONX,40.83623,-73.91646,2/5/2021,7/13/2021
1002669,1271 Deshi Bazar Corp.  ,Medium Grocery Store,1271,White Plains Rd, ,Bronx,NY,10472,4903,BRONX,40.83248,-73.86253,5/11/2011,10/22/2015
1164124,1275 Ray's Deli Grocery Corp  ,Convenience Store,1275,Webster Ave, ,Bronx,NY,10456,3356,BRONX,40.83382,-73.90879,10/13/2014,2/21/2017
1164124,1275 Ray's Deli Grocery Corp  ,Convenience Store,1275,Webster Ave, ,Bronx,NY,10456,3356,BRONX,40.83382,-73.90879,12/19/2017,8/22/2018
1109796,1278 Deli and Grocery Corp  ,Convenience Store,1278,Morrison Ave, ,Bronx,NY,10472,2702,BRONX,40.83127,-73.87495,11/4/2013,3/5/2020
732464,1278 Grocery Stationary Corp  ,Small Grocery Store,1278,Castle Hill Ave, ,Bronx,NY,10462,4811,BRONX,40.83377,-73.85141,11/22/2004,5/31/2006
1098358,1278 Mini Market  ,Medium Grocery Store,1278,Grand Concourse, ,Bronx,NY,10456, ,BRONX,40.83618,-73.91581,6/11/2013,11/16/2014
807443,1278 Mini Market Inc  ,Medium Grocery Store,1278,Grand Concourse, ,Bronx,NY,10456,2720,BRONX,40.83618,-73.91581,12/14/2006,6/10/2013
1653117,1278 Morrison Deli Grocery Corp  ,Convenience Store,1278,Morrison Ave,,Bronx,NY,10472,2702,BRONX,40.83152,-73.87495,8/21/2025, 
533475,128-130 West Fordham Deli Grocery Inc  ,Medium Grocery Store,130,W Fordham Rd, ,Bronx,NY,10468,5659,BRONX,40.86275,-73.90682,12/6/1994,1/5/2015
1187262,1285 Gourmet And Deli Corp  ,Convenience Store,1285,Southern Blvd, ,Bronx,NY,10459,1544,BRONX,40.82985,-73.8919,4/28/2015,12/28/2016
1267351,1285 Royale Gourmet Deli And Grocery Corp  ,Small Grocery Store,1285,Southern Blvd, ,Bronx,NY,10459,1544,BRONX,40.82986,-73.89191,2/16/2017,7/24/2022
1267351,1285 Royale Gourmet Deli And Grocery Corp  ,Small Grocery Store,1285,Southern Blvd, ,Bronx,NY,10459,1544,BRONX,40.82986,-73.89191,8/8/2022,7/23/2023
1267351,1285 Royale Gourmet Deli And Grocery Corp  ,Small Grocery Store,1285,Southern Blvd, ,Bronx,NY,10459,1544,BRONX,40.82986,-73.89191,7/27/2023,6/10/2024
1602488,1285 Royalty Gourmet Deli And Grocery Corp  ,Convenience Store,1285,Southern Blvd,,Bronx,NY,10459,1544,BRONX,40.83039,-73.89208,7/9/2024,8/19/2025
1604486,1286 Grocery Corp ,Convenience Store,1286,Southern Blvd,,Bronx,NY,10459,1536,BRONX,40.83036,-73.89165,7/16/2024, 
1442325,1289 Jc Deli Grocery Corp  ,Small Grocery Store,1289,Walton Ave,,Bronx,NY,10452,7803,BRONX,40.83706,-73.91807,4/29/2021,4/20/2022
1442325,1289 Jc Deli Grocery Corp  ,Small Grocery Store,1289,Walton Ave,,Bronx,NY,10452,7803,BRONX,40.83706,-73.91807,4/6/2023, 
1137049,129 Caribe Corp  ,Medium Grocery Store,129,W Tremont Ave, ,Bronx,NY,10453,5451,BRONX,40.85004,-73.91396,5/15/2014,1/29/2018
267204,"129 W TREMONT GROCERY, INC  ",Small Grocery Store,129,W Tremont Ave, ,Bronx,NY,10453,5451,BRONX,40.85007,-73.91383,4/16/1998,1/10/2005
267204,"129 W TREMONT GROCERY, INC  ",Small Grocery Store,129,W Tremont Ave, ,Bronx,NY,10453,5451,BRONX,40.85007,-73.91383,9/27/2005,11/12/2008
438081,1296 Rivera Grocery Inc  ,Convenience Store,1296,Walton Ave, ,Bronx,NY,10452,7604,BRONX,40.83739,-73.91753,6/1/1992, 
805153,1296 SHERIDAN DELI GROCERY CORP  ,Convenience Store,1296,Sheridan Ave, ,Bronx,NY,10456,1373,BRONX,40.83612,-73.91464,11/14/2006,4/25/2018
805153,1296 SHERIDAN DELI GROCERY CORP  ,Convenience Store,1296,Sheridan Ave, ,Bronx,NY,10456,1373,BRONX,40.83612,-73.91464,6/8/2018,4/29/2020
605560,12e 196th St Foos Inc  ,Medium Grocery Store,12,E 196th St,,Bronx,NY,10468,3570,BRONX,40.8689,-73.89555,7/1/1999,4/15/2025
433197,130 FEATHERBED PRODUCE & MEAT COR  ,Convenience Store,130,Featherbed Ln, ,Bronx,NY,10452,1656,BRONX,40.84613,-73.9202,12/31/2002,9/26/2005
